X,Y,band1,band2,band3,class
0,2,0,0,0,water
0,3,0,0,0,water
0,4,0,0,0,water
0,5,0,0,0,water
0,6,0,0,0,water
0,7,0,0,0,water
0,8,0,0,0,water
0,9,0,0,0,water
0,10,0,0,0,water
0,11,0,0,0,water
0,12,0,0,0,water
0,13,0,0,0,water
0,14,0,0,0,water
0,15,0,0,0,water
0,16,0,0,0,water
0,17,0,0,0,water
1,0,59,43,32,water
1,1,60,45,32,water
1,2,59,45,31,water
1,3,59,45,33,water
1,4,58,46,32,water
1,5,58,44,32,water
1,6,0,0,0,water
1,7,0,0,0,water
1,8,0,0,0,water
1,9,0,0,0,water
1,10,0,0,0,water
1,11,0,0,0,water
1,12,0,0,0,water
1,13,0,0,0,water
1,14,0,0,0,water
1,15,0,0,0,water
1,16,0,0,0,water
1,17,0,0,0,water
2,0,60,45,32,water
2,1,61,45,32,water
2,2,59,46,34,water
2,3,59,46,34,water
2,4,60,47,32,water
2,5,59,45,30,water
2,6,59,45,34,water
2,7,58,45,32,water
2,8,61,44,32,water
2,9,59,45,32,water
2,10,59,44,31,water
2,11,60,44,32,water
2,12,59,45,33,water
2,13,59,44,33,water
2,14,58,46,33,water
2,15,0,0,0,water
2,16,0,0,0,water
2,17,0,0,0,water
3,0,0,0,0,water
3,1,59,45,33,water
3,2,58,45,33,water
3,3,59,45,34,water
3,4,58,45,32,water
3,5,62,44,30,water
3,6,61,44,31,water
3,7,62,43,31,water
3,8,61,45,29,water
3,9,59,44,30,water
3,10,60,43,33,water
3,11,61,44,31,water
3,12,60,43,29,water
3,13,61,44,32,water
3,14,59,45,32,water
3,15,57,43,34,water
3,16,60,44,33,water
3,17,0,0,0,water
4,0,0,0,0,water
4,1,58,45,34,water
4,2,60,45,31,water
4,3,59,45,33,water
4,4,59,44,30,water
4,5,60,44,32,water
4,6,58,44,32,water
4,7,58,44,31,water
4,8,58,45,29,water
4,9,59,43,32,water
4,10,60,43,31,water
4,11,59,44,30,water
4,12,58,42,31,water
4,13,59,43,30,water
4,14,59,45,34,water
4,15,58,43,33,water
4,16,0,0,0,water
4,17,0,0,0,water
5,0,0,0,0,water
5,1,58,45,29,water
5,2,60,44,34,water
5,3,58,47,32,water
5,4,58,43,32,water
5,5,59,45,32,water
5,6,59,44,32,water
5,7,58,44,33,water
5,8,60,43,32,water
5,9,58,44,30,water
5,10,57,43,31,water
5,11,59,44,31,water
5,12,58,42,31,water
5,13,58,43,30,water
5,14,58,45,33,water
5,15,59,43,33,water
5,16,0,0,0,water
5,17,0,0,0,water
6,0,0,0,0,water
6,1,58,44,32,water
6,2,59,45,32,water
6,3,57,44,35,water
6,4,59,45,29,water
6,5,62,45,32,water
6,6,58,43,34,water
6,7,60,44,30,water
6,8,60,45,32,water
6,9,59,43,31,water
6,10,60,43,30,water
6,11,59,45,32,water
6,12,59,43,31,water
6,13,58,42,32,water
6,14,59,44,32,water
6,15,0,0,0,water
6,16,0,0,0,water
6,17,0,0,0,water
7,0,0,0,0,water
7,1,0,0,0,water
7,2,58,45,34,water
7,3,59,45,31,water
7,4,56,43,33,water
7,5,61,45,31,water
7,6,58,46,32,water
7,7,58,42,32,water
7,8,60,43,32,water
7,9,59,43,31,water
7,10,58,43,32,water
7,11,61,44,32,water
7,12,59,44,31,water
7,13,59,43,31,water
7,14,0,0,0,water
7,15,0,0,0,water
7,16,0,0,0,water
7,17,0,0,0,water
8,0,0,0,0,water
8,1,0,0,0,water
8,2,58,46,33,water
8,3,60,45,30,water
8,4,57,43,35,water
8,5,61,45,31,water
8,6,57,46,31,water
8,7,58,42,32,water
8,8,60,44,31,water
8,9,59,43,33,water
8,10,57,43,34,water
8,11,59,45,31,water
8,12,59,44,31,water
8,13,58,44,32,water
8,14,0,0,0,water
8,15,0,0,0,water
8,16,0,0,0,water
8,17,0,0,0,water
9,0,0,0,0,water
9,1,0,0,0,water
9,2,59,45,35,water
9,3,59,45,35,water
9,4,58,46,35,water
9,5,59,45,31,water
9,6,58,44,31,water
9,7,58,44,32,water
9,8,59,43,32,water
9,9,58,45,33,water
9,10,59,44,33,water
9,11,58,43,31,water
9,12,59,44,31,water
9,13,0,0,0,water
9,14,0,0,0,water
9,15,0,0,0,water
9,16,0,0,0,water
9,17,0,0,0,water
10,0,0,0,0,water
10,1,0,0,0,water
10,2,59,44,31,water
10,3,60,46,32,water
10,4,60,44,32,water
10,5,58,44,31,water
10,6,59,45,32,water
10,7,59,43,33,water
10,8,58,44,33,water
10,9,61,45,30,water
10,10,59,44,31,water
10,11,56,45,33,water
10,12,0,0,0,water
10,13,0,0,0,water
10,14,0,0,0,water
10,15,0,0,0,water
10,16,0,0,0,water
10,17,0,0,0,water
0,0,0,0,0,water
0,1,0,0,0,water
0,2,0,0,0,water
0,3,0,0,0,water
0,4,0,0,0,water
0,5,0,0,0,water
0,6,0,0,0,water
0,7,0,0,0,water
0,8,0,0,0,water
0,9,0,0,0,water
0,10,0,0,0,water
0,11,0,0,0,water
0,12,0,0,0,water
0,13,0,0,0,water
0,14,0,0,0,water
0,15,0,0,0,water
0,16,0,0,0,water
0,17,0,0,0,water
0,18,0,0,0,water
0,19,0,0,0,water
1,0,0,0,0,water
1,1,0,0,0,water
1,2,59,43,31,water
1,3,56,40,28,water
1,4,62,44,30,water
1,5,64,45,32,water
1,6,62,45,32,water
1,7,60,42,28,water
1,8,59,41,27,water
1,9,57,40,27,water
1,10,0,0,0,water
1,11,0,0,0,water
1,12,0,0,0,water
1,13,0,0,0,water
1,14,0,0,0,water
1,15,0,0,0,water
1,16,0,0,0,water
1,17,0,0,0,water
1,18,0,0,0,water
1,19,0,0,0,water
2,0,0,0,0,water
2,1,0,0,0,water
2,2,64,45,31,water
2,3,59,43,30,water
2,4,61,44,32,water
2,5,65,46,31,water
2,6,64,46,34,water
2,7,59,43,29,water
2,8,58,40,27,water
2,9,58,41,28,water
2,10,60,41,26,water
2,11,60,43,29,water
2,12,62,44,31,water
2,13,58,42,28,water
2,14,58,39,27,water
2,15,60,40,29,water
2,16,57,41,30,water
2,17,56,41,28,water
2,18,59,42,28,water
2,19,59,41,29,water
3,0,0,0,0,water
3,1,63,45,30,water
3,2,63,44,32,water
3,3,60,43,29,water
3,4,63,43,33,water
3,5,64,47,35,water
3,6,64,50,34,water
3,7,59,43,31,water
3,8,59,42,27,water
3,9,59,40,27,water
3,10,56,41,29,water
3,11,58,41,30,water
3,12,63,42,30,water
3,13,60,43,30,water
3,14,58,40,28,water
3,15,58,41,31,water
3,16,59,43,30,water
3,17,59,42,27,water
3,18,58,40,30,water
3,19,0,0,0,water
4,0,0,0,0,water
4,1,60,41,29,water
4,2,61,45,32,water
4,3,60,42,29,water
4,4,64,43,33,water
4,5,66,50,37,water
4,6,63,47,32,water
4,7,60,45,28,water
4,8,59,42,28,water
4,9,60,42,30,water
4,10,58,42,30,water
4,11,57,41,28,water
4,12,59,41,27,water
4,13,59,41,27,water
4,14,60,44,31,water
4,15,62,46,32,water
4,16,61,44,31,water
4,17,58,42,29,water
4,18,0,0,0,water
4,19,0,0,0,water
5,0,0,0,0,water
5,1,64,46,35,water
5,2,62,46,32,water
5,3,61,44,30,water
5,4,64,47,36,water
5,5,64,45,32,water
5,6,61,43,30,water
5,7,62,42,31,water
5,8,62,42,31,water
5,9,65,48,35,water
5,10,66,50,39,water
5,11,60,42,31,water
5,12,58,40,28,water
5,13,58,43,27,water
5,14,62,44,31,water
5,15,65,47,37,water
5,16,63,45,35,water
5,17,0,0,0,water
5,18,0,0,0,water
5,19,0,0,0,water
6,0,0,0,0,water
6,1,64,44,33,water
6,2,60,45,30,water
6,3,59,44,27,water
6,4,64,46,33,water
6,5,66,48,38,water
6,6,64,45,32,water
6,7,63,45,33,water
6,8,67,49,36,water
6,9,68,52,37,water
6,10,63,44,33,water
6,11,61,42,30,water
6,12,61,42,29,water
6,13,62,44,32,water
6,14,63,45,36,water
6,15,64,45,34,water
6,16,62,44,31,water
6,17,0,0,0,water
6,18,0,0,0,water
6,19,0,0,0,water
7,0,0,0,0,water
7,1,61,44,32,water
7,2,58,41,26,water
7,3,58,40,27,water
7,4,62,45,32,water
7,5,67,50,40,water
7,6,66,47,35,water
7,7,62,43,29,water
7,8,65,45,32,water
7,9,63,44,34,water
7,10,62,44,32,water
7,11,64,48,33,water
7,12,65,45,35,water
7,13,63,42,31,water
7,14,63,44,33,water
7,15,63,46,32,water
7,16,0,0,0,water
7,17,0,0,0,water
7,18,0,0,0,water
7,19,0,0,0,water
8,0,0,0,0,water
8,1,67,49,39,water
8,2,60,43,29,water
8,3,57,39,26,water
8,4,59,41,30,water
8,5,63,46,34,water
8,6,63,45,35,water
8,7,59,41,29,water
8,8,61,42,29,water
8,9,60,40,30,water
8,10,59,43,31,water
8,11,64,48,36,water
8,12,66,49,36,water
8,13,63,42,31,water
8,14,60,43,29,water
8,15,0,0,0,water
8,16,0,0,0,water
8,17,0,0,0,water
8,18,0,0,0,water
8,19,0,0,0,water
9,0,0,0,0,water
9,1,72,53,43,water
9,2,64,47,35,water
9,3,59,39,26,water
9,4,59,40,28,water
9,5,60,42,28,water
9,6,62,43,32,water
9,7,61,43,31,water
9,8,57,43,28,water
9,9,60,41,27,water
9,10,58,40,29,water
9,11,60,42,33,water
9,12,65,47,35,water
9,13,62,42,29,water
9,14,0,0,0,water
9,15,0,0,0,water
9,16,0,0,0,water
9,17,0,0,0,water
9,18,0,0,0,water
9,19,0,0,0,water
10,0,0,0,0,water
10,1,67,50,40,water
10,2,68,48,37,water
10,3,62,42,27,water
10,4,59,41,29,water
10,5,61,42,29,water
10,6,62,42,28,water
10,7,62,43,29,water
10,8,58,41,27,water
10,9,60,40,27,water
10,10,56,37,27,water
10,11,59,40,30,water
10,12,62,43,31,water
10,13,61,44,30,water
10,14,0,0,0,water
10,15,0,0,0,water
10,16,0,0,0,water
10,17,0,0,0,water
10,18,0,0,0,water
10,19,0,0,0,water
11,0,0,0,0,water
11,1,64,48,35,water
11,2,65,47,32,water
11,3,61,43,29,water
11,4,60,42,29,water
11,5,60,41,31,water
11,6,62,42,28,water
11,7,58,42,29,water
11,8,60,40,28,water
11,9,58,42,26,water
11,10,57,39,28,water
11,11,58,41,32,water
11,12,59,39,26,water
11,13,0,0,0,water
11,14,0,0,0,water
11,15,0,0,0,water
11,16,0,0,0,water
11,17,0,0,0,water
11,18,0,0,0,water
11,19,0,0,0,water
12,0,61,46,29,water
12,1,60,44,31,water
12,2,60,40,29,water
12,3,59,43,30,water
12,4,58,42,28,water
12,5,62,42,29,water
12,6,0,0,0,water
12,7,0,0,0,water
12,8,0,0,0,water
12,9,0,0,0,water
12,10,0,0,0,water
12,11,0,0,0,water
12,12,0,0,0,water
12,13,0,0,0,water
12,14,0,0,0,water
12,15,0,0,0,water
12,16,0,0,0,water
12,17,0,0,0,water
12,18,0,0,0,water
12,19,0,0,0,water
